Party,Vote1,Vote2,Vote3,Vote4 ,Vote5,Vote6,Vote7,Vote8,Vote9,Vote10,Vote11,Vote12,Vote13,Vote14,Vote15,Vote16
1,1,1,1,-1,1,1,-1,-1,0,1,-1,-1,-1,1,1,0
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,1,0,1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,0
1,-1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1
1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,-1,1,1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1
0,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,0,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,-1,1
0,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,1,-1,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
0,-1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1
1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,0
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,0
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1
1,1,1,1,-1,-1,-1,1,1,0,1,-1,-1,-1,-1,1,0
0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1
0,-1,-1,-1,1,-1,1,1,0,1,-1,-1,1,1,1,-1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1
0,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,-1,1,1,1
1,-1,1,1,-1,-1,-1,1,1,0,1,-1,-1,1,-1,1,1
1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,0,1
0,-1,1,-1,1,1,1,0,-1,-1,-1,-1,0,1,1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,-1,1,-1,-1,-1,1,1,0,-1,1,-1,-1,-1,1,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
0,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,0,1
1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
1,1,-1,1,-1,-1,0,1,1,1,-1,0,0,-1,0,0,0
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
0,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,1,-1,-1,1,1,1,1,-1,0,-1,-1,-1,-1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,0
0,-1,-1,-1,1,1,-1,1,1,-1,1,-1,1,1,1,0,1
0,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,1,1,1
1,-1,-1,1,-1,1,1,-1,-1,-1,-1,0,-1,1,1,-1,-1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1
0,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1
0,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0
0,1,-1,-1,1,1,1,-1,-1,-1,1,-1,0,1,1,-1,-1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,0,1
1,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1
1,-1,-1,1,-1,-1,1,0,1,0,1,1,1,-1,1,1,0
1,1,1,1,0,-1,1,1,1,1,-1,1,-1,1,-1,0,1
1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,1,1
1,1,1,1,-1,1,1,-1,1,-1,1,1,-1,1,1,-1,0
1,1,-1,1,-1,0,1,0,1,1,1,-1,-1,1,1,-1,1
1,1,-1,1,-1,-1,1,1,1,1,1,-1,0,-1,1,-1,1
1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1
1,1,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1
1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1,-1,0
0,-1,1,-1,1,1,1,0,0,-1,1,-1,1,0,0,0,0
0,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,1
1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,0,-1,1,0
1,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1
0,-1,-1,-1,1,1,-1,1,1,1,1,-1,1,1,1,-1,1
1,-1,-1,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,0
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,1,-1
1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
0,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
0,-1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
0,-1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,1,0
1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,-1
1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1,1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,1
1,1,1,1,-1,0,1,-1,0,-1,-1,1,-1,1,1,-1,0
1,1,1,1,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,0
0,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
1,-1,1,-1,-1,1,1,-1,-1,0,-1,-1,1,1,1,-1,1
1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1
1,1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,1,0
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,0
1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,-1,1,1,-1,-1,1,1,1,0,-1,1,1,-1,-1,1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,0
1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,0,1
1,1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1
0,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1
1,-1,0,1,0,-1,1,1,1,1,1,1,-1,0,0,1,1
1,-1,1,1,-1,1,0,1,-1,-1,1,1,-1,1,-1,1,1
0,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,-1,1
1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1
0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
0,1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0
0,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1
1,-1,1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1
0,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1
1,-1,1,-1,1,-1,1,1,1,1,-1,1,-1,1,-1,1,0
0,-1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1
1,-1,1,1,-1,-1,1,1,1,1,1,-1,0,-1,-1,1,1
0,1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,0
0,-1,-1,-1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,1
1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1
1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,-1,0
1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1
0,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1
0,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1
1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,-1,-1
1,1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,0
1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,1,0
1,-1,1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1
1,1,1,1,-1,0,1,1,1,-1,1,0,0,-1,-1,1,1
1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,0
1,-1,1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,-1,-1
1,-1,1,1,0,1,1,-1,1,-1,1,0,-1,1,1,0,1
0,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1
1,1,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
0,-1,1,-1,1,1,1,0,0,-1,-1,0,0,1,0,0,0
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,1,1,1,-1,-1,1,0,1,1,-1,1,-1,1,-1,1,1
1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,0
1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,0
1,1,1,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1
1,-1,0,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
1,1,1,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,0
1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
1,1,-1,1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,1,0
1,0,0,-1,-1,0,1,0,-1,-1,-1,1,1,-1,1,-1,0
1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,-1
0,1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
0,0,0,0,0,-1,1,-1,1,1,-1,-1,1,1,-1,-1,0
1,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,1,-1,-1,1
1,1,1,1,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,1
1,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,-1,1,1
1,1,1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,1,-1,1
1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
0,-1,1,-1,1,0,1,-1,-1,-1,1,-1,1,1,1,-1,-1
0,-1,1,-1,1,1,1,-1,0,-1,-1,0,0,0,1,-1,0
0,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1
0,0,-1,1,1,-1,1,1,1,1,1,-1,1,-1,1,-1,1
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,-1
0,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
1,1,-1,1,-1,1,1,-1,-1,1,1,-1,-1,1,1,-1,1
1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1
1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,0,1,1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
0,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
1,1,-1,1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1
0,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
0,1,1,1,1,1,1,1,1,-1,1,0,0,0,1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
1,-1,1,1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,1
0,1,1,-1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1
1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1
1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1
0,1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1,-1,1
1,-1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1
1,-1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,1,1
1,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1
1,-1,1,1,-1,-1,0,1,1,1,1,1,-1,0,1,1,1
1,-1,-1,1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,1,0
1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
0,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1
1,0,0,0,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1
1,1,-1,1,-1,0,-1,1,1,1,1,-1,1,-1,0,1,1
0,-1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1
1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1
0,-1,0,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1
0,-1,-1,-1,1,1,1,0,0,0,0,-1,1,1,1,-1,1
0,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,0,-1